상호명,도로명주소,위도,경도
은혜분식,"인천광역시 연수구 한나루로 194-3 (옥련동,(지상1층))",37.41763239,126.6514068
홍보석식당,"인천광역시 연수구 앵고개로206번길 10 (동춘동,동춘1동(지상2층))",37.41623835,126.6571254
쓰리고치킨,"인천광역시 연수구 경원대로119번길 21 (동춘동,지상1층(경원로 25))",37.41076816,126.6675745
페리카나치킨,"인천광역시 연수구 먼우금로 126 (동춘동,연수33BL 대림현대(아)상가 107)",37.42049714,126.6769378
자금성,"인천광역시 연수구 청능대로 124 (동춘동,청량동 연수타운 (지상2층213호))",37.41878325,126.6807712
막창골,"인천광역시 연수구 청학로11번길 28, 지상1층 (청학동)",37.41333392,126.6567093
경남자금성,"인천광역시 연수구 원인재로 310, 2층 204호 (연수동)",37.42103687,126.6939161
야래향,"인천광역시 연수구 새말로 59, 지상1층 (연수동)",37.41899718,126.6809456
마포황금족발,"인천광역시 연수구 먼우금로252번길 29, 지상1층 (연수동)",37.41487729,126.6572491
구워구워치킨,"인천광역시 연수구 먼우금로252번길 26 (연수동,(지상1층))",37.41357461,126.6544415
왕숯불민물장어,"인천광역시 연수구 앵고개로101번길 2, 지상1층 (동춘동)",37.41335871,126.6551304
송도 궁중삼계탕,"인천광역시 연수구 청량로 84, 지상1층 (동춘동)",37.41586218,126.6573353
북경,"인천광역시 연수구 청량로79번길 16 (동춘동, 지상1층)",37.42646468,126.6576985
송도 서서갈비,"인천광역시 연수구 능허대로267번길 17 (동춘동, 지상1층)",37.41147207,126.6760608
정일품식당,"인천광역시 연수구 솔밭로 65 (동춘동,동춘1동(지상1,2층))",37.42320082,126.6436391
이어도참치,"인천광역시 연수구 능허대로 217 (옥련동, 지상1,2,3층)",37.41281054,126.6543541
해변家,"인천광역시 연수구 청량로97번길 59 (동춘동, 지상1,2층)",37.41515301,126.6535784
왕짬뽕,"인천광역시 연수구 한나루로196번길 14 (옥련동,(지상1층))",37.41289475,126.6546604
조원일식민어참치,"인천광역시 연수구 앵고개로83번길 12 (동춘동,지상1층)",37.41290575,126.6689238
코이,"인천광역시 연수구 능허대로103번길 28 (옥련동, 지상1층)",37.41427277,126.6572898
해변가,"인천광역시 연수구 앵고개로83번길 15 (동춘동,동춘1동(지상1층))",37.42820451,126.6619139
송도쌈밥,"인천광역시 연수구 앵고개로101번길 44-14, 지상1층,지하1층 (동춘동)",37.41492336,126.6562535
최진사치킨,"인천광역시 연수구 앵고개로205번길 41 (동춘동,동춘1동 하나A상가102호)",37.40699507,126.6800838
삿뽀로송도점(주)엔타스시스템,"인천광역시 연수구 능허대로267번길 70 (동춘동, 지상1,2층)",37.41578927,126.6560863
녹돈당,"인천광역시 연수구 청량로79번길 15 (동춘동,(지상1층))",37.41448224,126.6802881
수연생오리구이,"인천광역시 연수구 능허대로167번길 72 (옥련동,지하1층, 지상1층)",37.41396407,126.6795242
명동식당,"인천광역시 연수구 한나루로196번길 13-16 (옥련동,(지상1층))",37.42723602,126.6579215
만강홍,"인천광역시 연수구 원인재로 88, 2동 지상2층 202호 (동춘동, 대우삼환상가)",37.41520853,126.6799988
큰손쭈꾸미마을,"인천광역시 연수구 벚꽃로142번길 26, 지상1층 (연수동)",37.4140495,126.6809245
향나무촌,"인천광역시 연수구 샘말로 77 (연수동, 지상1층)",37.41244536,126.6777181
원조닭똥집식당,"인천광역시 연수구 샘말로61번길 5 (연수동,2동(지상1층))",37.41663508,126.6507214
연수조개구이,"인천광역시 연수구 샘말로44번길 9, 지상1층 (연수동)",37.41303726,126.6797519
갯마을갯뻘낙지,"인천광역시 연수구 벚꽃로158번길 38 (연수동,2동(지상1층))",37.41493655,126.6578497
아리산체,"인천광역시 연수구 샘말로 15-7 (연수동, 지상1층)",37.41412275,126.6792698
명가생고기,"인천광역시 연수구 샘말로44번길 12 (연수동,지상1층)",37.41383886,126.6807042
세븐웨이즈(seven ways),"인천광역시 연수구 샘말로8번길 13-6, 지상1층 (연수동)",37.41355609,126.6807412
자연채 우렁쌈밥,"인천광역시 연수구 샘말로30번길 17, 지상1층 (연수동)",37.41240056,126.6794425
은성해물탕,"인천광역시 연수구 샘말로61번길 11 (연수동,지상1층(맛가람길19))",37.41368667,126.6787758
기쁨수산,"인천광역시 연수구 샘말로43번길 10 (연수동,163BL 11LT 2동(지상1층))",37.41967721,126.6723338
베트남쌀국수,"인천광역시 연수구 샘말로 68-11 (연수동,지상1층)",37.41272727,126.677946
시골막창,"인천광역시 연수구 벚꽃로158번길 45 (연수동,(지상1층))",37.4201976,126.6516526
행운장,"인천광역시 연수구 비류대로294번길 32-5 (청학동,(지상1층))",37.42467129,126.6660034
주문진 붉은대게 무한리필,"인천광역시 연수구 샘말로21번길 7 (연수동,지상1층)",37.41289019,126.6796003
청학골,"인천광역시 연수구 용담로 42-1 (청학동,지상1층)",37.42184872,126.6795958
청능싱싱회센타,"인천광역시 연수구 용담로 71 (청학동,(지상1층))",37.41901223,126.6799962
칼포니치킨,인천광역시 연수구 새말로 111 (연수동),37.41806491,126.6533994
물회막회전문점,"인천광역시 연수구 센트럴로 232, E동 163,164호 (송도동, 더샵센트럴파크1)",37.41133205,126.6695752
페리카나치킨,"인천광역시 연수구 함박뫼로 100 (연수동,문남마을아파트상가 107호)",37.39636124,126.6375683
알렉산더치킨,"인천광역시 연수구 먼우금로 123, 지상1층 106호 (동춘동, 동춘상가)",37.41819249,126.651331
충남회집,"인천광역시 연수구 먼우금로252번길 7-2 (연수동,1동(지상1층))",37.41502139,126.652568
청원아구,"인천광역시 연수구 대암로 38 (옥련동, 지상1층)",37.41169979,126.6787347
송도콩나물해장국,"인천광역시 연수구 청량로113번길 15 (옥련동,지상1층(대암4로15))",37.41749315,126.6541133
풍년꽃게,"인천광역시 연수구 인권로 8 (옥련동, 지상1층)",37.41784057,126.6745706
송도오리,"인천광역시 연수구 능허대로 243, 지상1,2층 (동춘동)",37.42230881,126.6751194
한담,인천광역시 연수구 인권로 26 (옥련동),37.41643686,126.6508575
예전,"인천광역시 연수구 대암로 45, 2층 (옥련동)",37.41796546,126.6543656
남원골월매추어탕,"인천광역시 연수구 먼우금로252번길 7-3 (연수동,1동(지상1층))",37.41896188,126.6801437
돈미가,"인천광역시 연수구 새말로35번길 3 (연수동,1동(지상1층))",37.41925131,126.6798971
안골소막창구이,"인천광역시 연수구 먼우금로252번길 13 (연수동,지상1층)",37.41569739,126.6577372
송도막창구이,"인천광역시 연수구 능허대로 221 (옥련동,지상1층)",37.41758556,126.6545568
송탄 부대찌개,"인천광역시 연수구 대암로 46 (옥련동,지상1층(대암로 62))",37.41689489,126.6785588
연수동 해물나라,"인천광역시 연수구 벚꽃로 120, 지상2층 (연수동)",37.41859718,126.6843636
대동강,"인천광역시 연수구 청량로86번길 14-6 (동춘동, 지상1층)",37.41910865,126.6533961
한나루 민어회,"인천광역시 연수구 청량로113번길 5, 지상1층 (옥련동)",37.41469045,126.6556968
하늘초롬,인천광역시 연수구 청능대로 58 (동춘동),37.4086566,126.6708262
대한해장국,"인천광역시 연수구 앵고개로87번길 5, 1층 (동춘동)",37.41359299,126.6809939
심술네,"인천광역시 연수구 솔밭로 57 (동춘동,지상1층(솔밭길 41))",37.41565271,126.6557691
기타맨,"인천광역시 연수구 앵고개로101번길 42, 지상2층 (동춘동)",37.42381449,126.6570366
윤가네 칼국수,"인천광역시 연수구 청룡로30번길 2 (옥련동,(지상1층))",37.41237319,126.6791363
샛별분식,"인천광역시 연수구 앵고개로 242, 연수제일종합상가 B124,B125호 (동춘동)",37.41526759,126.6817582
진천명품순대,"인천광역시 연수구 용담로149번길 15 (연수동,2동 지상1층(샘말1로9))",37.43112278,126.6966601
솔밭가든,"인천광역시 연수구 넘말로79번길 1 (선학동,지상1층(선유봉길58))",37.41825466,126.65422
블랙앤화이트,"인천광역시 연수구 샘말로8번길 13-19 (연수동,2동(지상1층))",37.41641139,126.6725601
페리카나치킨,"인천광역시 연수구 샘말로 106-7, 1층 (연수동)",37.41420843,126.6791475
오븐에빠진닭,"인천광역시 연수구 샘말로61번길 20 (연수동,2동(지상1층))",37.42510946,126.6976653
마세라티,"인천광역시 연수구 샘말로8번길 7-17 (연수동,지상1층(맛고을안길 26))",37.41241753,126.6774754
연쭈,"인천광역시 연수구 샘말로62번길 16 (연수동,지상1층)",37.41332501,126.680434
미가 게장정식전문점,"인천광역시 연수구 샘말로61번길 13 (연수동,2동(지상1층))",37.43545602,126.7011132
용두레,"인천광역시 연수구 예술로20번길 41, 지상2층 (선학동)",37.41360752,126.6789303
춘천닭갈비,"인천광역시 연수구 학나래로6번길 45, 1층 (선학동)",37.41378824,126.6801634
두만강양꼬치,"인천광역시 연수구 샘말로7번길 10 (연수동,2동(지상1층))",37.41212364,126.6781164
대박어시장,"인천광역시 연수구 샘말로 12 (연수동,2동 지상1층(수합길6))",37.4126712,126.6550365
리춘시장 인천연수점,"인천광역시 연수구 샘말로43번길 8 (연수동,2동(지상1층))",37.41453112,126.6790181
술향가,"인천광역시 연수구 샘말로62번길 7 (연수동,2동 지상1층)",37.41405516,126.6794018
하늘채,"인천광역시 연수구 샘말로 26 (연수동,2동 지상2층)",37.41358453,126.6804226
예담삼계탕 연수점,"인천광역시 연수구 샘말로62번길 4 (연수동,2동(지상1층))",37.41343682,126.6803097
참치월드,"인천광역시 연수구 샘말로62번길 14 (연수동,지상1층)",37.41159606,126.6782042
황소야,"인천광역시 연수구 샘말로61번길 7 (연수동,2동(지상1층))",37.41344712,126.6806254
산마루,"인천광역시 연수구 샘말로62번길 17 (연수동,2동(지상1층))",37.4175684,126.6752218
피버(Fever),"인천광역시 연수구 벚꽃로158번길 48, 2동 지하1층 (연수동)",37.41648229,126.6740634
자이브,"인천광역시 연수구 샘말로8번길 10 (연수동,2동 지하1층(맛고을2가22))",37.41343682,126.6803097
몽실이비어,"인천광역시 연수구 샘말로62번길 14 (연수동, 지상1층)",37.41245494,126.6787067
XS BREWING ROOM(엑스트라스몰 브루잉룸),"인천광역시 연수구 청명로 19 (청학동,지상1층)",37.41264208,126.6786583
조마루 뼈다귀,"인천광역시 연수구 청명로3번길 2 (청학동,(지상1층))",37.42588521,126.6831423
봉이네식당,"인천광역시 연수구 독배로40번길 18 (옥련동,삼성아파트상가동 202호)",37.42567997,126.6807068
경복궁송도점(주)덕용푸드시스템,"인천광역시 연수구 청량로 120 (옥련동, 지상1,2층)",37.41876842,126.6805822
하우스홀드,"인천광역시 연수구 새말로99번길 4 (연수동,1동(지상1층))",37.42159458,126.6758444
쎄미양념통닭,"인천광역시 연수구 함박안로62번길 78 (연수동,1동(지상1층))",37.41879346,126.680944
명동식당,"인천광역시 연수구 먼우금로252번길 30, 1층 (연수동)",37.41669867,126.6740716
처갓집 양념치킨 연수점,"인천광역시 연수구 함박로 32, 지상1층 일부호 (연수동)",37.41387302,126.6581124
옛날 장터 치킨(연수점),"인천광역시 연수구 새말로45번길 1 (연수동,1동(지상1층))",37.41880118,126.6811469
주모리,"인천광역시 연수구 새말로107번길 3 (연수동,지상2층(벗거리길 20))",37.41372121,126.6798561
24시 이사반점,"인천광역시 연수구 청명로3번길 8-6, 1층 (청학동)",37.42392548,126.6457534
형제들감자탕,"인천광역시 연수구 앵고개로103번길 25 (동춘동, 지상2층)",37.41705921,126.6511668
성진아구,"인천광역시 연수구 청량로109번길 71 (옥련동, 지상1,2층)",37.39805512,126.6657403
멕시카나치킨,"인천광역시 연수구 한나루로 165 (옥련동,외 1필지,지상1층 (한나루길 397))",37.41438633,126.6538822
제주뚝배기,"인천광역시 연수구 앵고개로87번길 47 (동춘동,지상1층(먹거리길23))",37.41498309,126.6583102
시골밥상,"인천광역시 연수구 대암로 7, 지상1층 (옥련동)",37.41309747,126.654522
두레박,"인천광역시 연수구 청량로70번길 2 (동춘동,1동 지상1층, 지상2층(소암길42))",37.4139267,126.6604645
충남집,"인천광역시 연수구 능허대로446번길 64 (동춘동,1동 지상1층(동죽길30))",37.41842563,126.6519156
강릉해변메밀막국수 송도점,"인천광역시 연수구 능허대로267번길 12 (동춘동, 지상1층)",37.41427167,126.6800779
종로빈대떡,"인천광역시 연수구 샘말로 67-2, 지상1층 (연수동)",37.41813553,126.6549553
송도장어,"인천광역시 연수구 청량로46번길 4 (동춘동,1동 지하1층)",37.41554136,126.6529306
오가네식당,"인천광역시 연수구 인권로 12, 지상1층 (옥련동)",37.40072245,126.6674326
보드람치킨,"인천광역시 연수구 앵고개로264번길 10-3 (동춘동,지상1층 103호)",37.40755899,126.6717609
구워구워,"인천광역시 연수구 경원대로119번길 21 (동춘동,2동 풍림2차상가112호 지상1층(경원로 25))",37.40729578,126.6721445
춘천토박이집,"인천광역시 연수구 앵고개로264번길 10-3 (동춘동, 동서빌딩 101,102호)",37.40699507,126.6800838
동남세꼬시,"인천광역시 연수구 먼우금로 19 (동춘동,2동 동남상가104호(지상1층))",37.41367048,126.6808597
돌계단치킨,"인천광역시 연수구 원인재로 88 (동춘동,2동 삼환.대우분산상가107호(지상1층))",37.41201556,126.6787759
호치킨 동춘클라비스점,"인천광역시 연수구 앵고개로264번길 10-13 (동춘동,2동 102호(지상1층))",37.41457598,126.6796378
오서방연탄석쇠구이,"인천광역시 연수구 벚꽃로158번길 43 (연수동, 지상1층)",37.41297951,126.679483
추억의 포장마차,"인천광역시 연수구 샘말로44번길 10 (연수동,지상1층(맛고을길9))",37.42439288,126.6552297
연수동목로주점,"인천광역시 연수구 벚꽃로142번길 39, 지상1층 (연수동)",37.40729578,126.6721445
30년전통원조자매,"인천광역시 연수구 샘말로8번길 13-9 (연수동, 지상1층)",37.41360384,126.6782715
연수동양꼬치,"인천광역시 연수구 샘말로61번길 18 (연수동,2동(지상1층))",37.42446926,126.697497
황금코다리,"인천광역시 연수구 학나래로6번길 34 (선학동,(지상1층))",37.42457442,126.6967895
구이촌,"인천광역시 연수구 학나래로14번길 16-1 (선학동,(지상1층))",37.41429587,126.6790188
연백식당,"인천광역시 연수구 샘말로21번길 14-15 (연수동,지상1층)",37.41258423,126.6791539
육선과 삼합,"인천광역시 연수구 학나래로 26 (선학동, 지상1층)",37.42607035,126.6971414
춘식이 철판닭갈비,"인천광역시 연수구 샘말로61번길 15 (연수동, 2동 지상1층)",37.42617131,126.6975399
중국관,"인천광역시 연수구 샘말로30번길 9, 2동  지상1층 (연수동)",37.40137831,126.673166
마포소금구이,"인천광역시 연수구 샘말로44번길 6 (연수동,2동 지상1층(맛고을길11))",37.41305612,126.6793533
최부자네,"인천광역시 연수구 경원대로467번길 18 (선학동,(지상1층))",37.41446009,126.6791741
아버이순대,"인천광역시 연수구 경원대로467번길 25 (선학동, 지상1층)",37.42426552,126.697359
투다리 선학점,"인천광역시 연수구 경원대로467번길 14 (선학동, 지상1층)",37.41362136,126.680015
투다리(연수구청점),"인천광역시 연수구 샘말로8번길 4 (연수동,2동 지상1층)",37.40749232,126.6808219
흥성 참숯꼬치,"인천광역시 연수구 학나래로14번길 14 (선학동,지상1층)",37.41352633,126.6790503
쟁반집,"인천광역시 연수구 샘말로62번길 6 (연수동,2동 지상1층(맛가람길9))",37.41285773,126.6777836
도당우,"인천광역시 연수구 원인재로 124 (동춘동, 한양(아)상가 지상1층 110호)",37.41337103,126.6786226
잔잔,"인천광역시 연수구 샘말로43번길 4, 지상1층 (연수동)",37.42449588,126.6979663
그시절 동태촌 인천연수점,"인천광역시 연수구 샘말로 37-8 (연수동, 2동 지상1층)",37.41191036,126.6784245
치에로,"인천광역시 연수구 샘말로8번길 7-4 (연수동,지상1층(맛고을안길29))",37.40749232,126.6808219
바삭치킨&호프,"인천광역시 연수구 원인재로 124 (동춘동,한양상가 지상1-101호(원인재길36))",37.41400322,126.6800995
연꽃집,"인천광역시 연수구 샘말로21번길 11 (연수동,2동 지상1층)",37.42613655,126.6977306
역전할머니맥주(연수점),"인천광역시 연수구 샘말로43번길 9 (연수동, 2동 지상1층)",37.41301342,126.6855598
포차천국연수점,"인천광역시 연수구 샘말로43번길 5 (연수동, 지상1층)",37.4122437,126.6793102
사이공 유&미,"인천광역시 연수구 샘말로 68-2 (연수동, 지상1층)",37.4168456,126.6744594
원조즉석김밥,"인천광역시 연수구 원인재로 180 (연수동,우성상가 28호 2동(지하1층))",37.42672308,126.6674544
공개홀,"인천광역시 연수구 샘말로30번길 18 (연수동, 2동 지하1층)",37.41184687,126.6778496
강화밴뎅이,"인천광역시 연수구 청명로 9 (청학동,지상1층(청명길9))",37.41474537,126.6822307
에스비푸드,"인천광역시 연수구 용담로149번길 49 (연수동,지상1층)",37.41711306,126.6730066
팔도강산,"인천광역시 연수구 청능대로53번길 6 (청학동,(지상1층))",37.41654612,126.6762358
남가네 설악추어탕,"인천광역시 연수구 용담로99번길 13 (청학동,1층(소한담길17))",37.41797682,126.6865547
또와또와,"인천광역시 연수구 청학로6번길 76, 지상1층 (청학동)",37.41345921,126.6787296
서산아구랑꽃게,"인천광역시 연수구 비류대로256번길 8-14, 지상1층 (청학동)",37.41999656,126.690729
금산식당,"인천광역시 연수구 청능대로53번길 24-4 (청학동, 지상1층)",37.41939183,126.6807951
진미분식,"인천광역시 연수구 원인재로 237 (연수동,대우상가 102호 3동(지상1층))",37.41990564,126.6795001
멕시칸치킨,"인천광역시 연수구 함박뫼로 221 (연수동,사원 임대상가 105호(3동))",37.4265825,126.6571575
솔밭원조곱창구이,"인천광역시 연수구 먼우금로252번길 27-10 (연수동,1동(지상1층))",37.41337991,126.6788633
연수푸드,"인천광역시 연수구 먼우금로251번길 8-12, 102호 (연수동)",37.41461395,126.6531925
아리아리랑,"인천광역시 연수구 솔밭로 5 (동춘동,(지하1,지상1,2층))",37.41711002,126.6557444
길모퉁이집,"인천광역시 연수구 청량로101번길 4 (옥련동,(지상1층))",37.42442552,126.6443535
본죽 옥련점,"인천광역시 연수구 독배로 41 (옥련동,(지상1층))",37.41792974,126.6578207
부부식당,"인천광역시 연수구 한나루로196번길 2 (옥련동,(지상1층))",37.42667233,126.6626939
만리장성중화요리,"인천광역시 연수구 독배로40번길 29 (옥련동,대성상가 (지하1층))",37.42442552,126.6443535
토크쇼,"인천광역시 연수구 능허대로79번길 30 (옥련동,럭키(아)종합상가114)",37.41852812,126.6551515
예소담,"인천광역시 연수구 청량로102번길 40 (옥련동,(지상1층))",37.41771781,126.6736419
원할머니보쌈 인천 옥련점,"인천광역시 연수구 독배로 41 (옥련동,지상2층)",37.4075498,126.6704508
(주)신화푸드 긴자 송도유원지점,"인천광역시 연수구 청량로120번길 10 (옥련동,,574-2,3(지하1,2층,지상1,2층))",37.41713653,126.6528979
송도갯벌,"인천광역시 연수구 대암로22번길 25, 1층 (옥련동)",37.42690618,126.6472419
현대반점,"인천광역시 연수구 한진로 49 (옥련동,,2 현대A상가 지하1층)",37.40711303,126.6712771
비비큐(B.B.Q)치킨(동춘점),"인천광역시 연수구 앵고개로254번길 19-6, 지상1층 (동춘동)",37.41914804,126.680083
원래는 치킨집을 할려고 했었다 연수점,"인천광역시 연수구 새말로99번길 17 (연수동, 지상1층)",37.42450107,126.6465752
고기싸롱,"인천광역시 연수구 먼우금로 96 (동춘동, 지상1층)",37.42548956,126.6974923
전주미담콩나물국밥,"인천광역시 연수구 앵고개로254번길 13 (동춘동, 2동 지상1층)",37.41310442,126.6777425
참꽃삼겹살,"인천광역시 연수구 학나래로6번길 25, 지상1층 (선학동)",37.41368457,126.6802923
선학숯불갈비,"인천광역시 연수구 학나래로46번길 15, 1층 (선학동)",37.42469255,126.6433898
철부지와하니,인천광역시 연수구 샘말로21번길 18 (연수동),37.41358453,126.6804226
양군네 풍천장어,"인천광역시 연수구 샘말로62번길 9 (연수동,2동 지상1층(맛가람길8))",37.41381374,126.6789032
뮤즈,"인천광역시 연수구 용담로 132 (연수동,2동(지하1층))",37.41301342,126.6855598
우성한식,"인천광역시 연수구 원인재로 180 (연수동, 우성아파트상가 지층27호)",37.4131148,126.6796261
촌장쌈생고기,"인천광역시 연수구 샘말로44번길 7 (연수동, 2동 지상1층)",37.41346093,126.6784596
오사카부루스(연수점),"인천광역시 연수구 샘말로21번길 14-18, 지상1층 (연수동)",37.40745,126.6716435
이가네,"인천광역시 연수구 벚꽃로158번길 48 (연수동,2동(지상1층))",37.41429587,126.6790188
이자까야류,"인천광역시 연수구 샘말로44번길 10 (연수동,지상1층)",37.42671002,126.6690572
부원집,"인천광역시 연수구 샘말로8번길 7-10 (연수동,2동(지상1층))",37.4182099,126.672347
야생골뱅이,"인천광역시 연수구 샘말로61번길 15, 2동 지상1층 (연수동)",37.42422676,126.6974928
홍콩반점,"인천광역시 연수구 계림로112번길 22, 지상1층 (청학동)",37.42528754,126.6850912
청화루,"인천광역시 연수구 용담로50번길 28 (청학동,(지상1층))",37.41762926,126.6772291
휠링,"인천광역시 연수구 용담로50번길 28 (청학동,(지상1층))",37.4267944,126.6672147
단골식당,"인천광역시 연수구 비류대로291번길 9, 지상1층 (청학동)",37.41297951,126.679483
베테랑 종합어시장,"인천광역시 연수구 벚꽃로 106, 연수광장프라자 202-1호 (청학동)",37.42537093,126.6845055
김밥천국,"인천광역시 연수구 함박로 66 (연수동,지상1층)",37.41385443,126.6542457
원양참치,"인천광역시 연수구 함박로 72, 지상1층 (연수동)",37.41310319,126.654818
취안,"인천광역시 연수구 함박로92번길 7 (연수동,지상1층)",37.4182099,126.672347
가나안덕 송도점,"인천광역시 연수구 앵고개로87번길 2 (동춘동, 지상1층)",37.41606182,126.6552498
정윤기 황칠낙지,"인천광역시 연수구 앵고개로87번길 33 (동춘동, 지상1층)",37.41201926,126.6785313
종가집게장,"인천광역시 연수구 능허대로267번길 18 (동춘동,1동(지상1층))",37.42613937,126.6604972
읻시(ici),"인천광역시 연수구 청량로97번길 23 (동춘동,1동(지상1층))",37.42390059,126.6444308
코러스라인,"인천광역시 연수구 청량로 93, 지상2층 (동춘동)",37.41745812,126.6560223
서해황태전문점,"인천광역시 연수구 청량로102번길 3 (옥련동,(지상1층))",37.42431935,126.6855949
불로만숯불바베큐,"인천광역시 연수구 독배로 35 (옥련동,1층 104호)",37.41772777,126.655664
송도 천지연,"인천광역시 연수구 청량로 108, 지상1,2층 (옥련동)",37.41762921,126.6548632
우리식당,"인천광역시 연수구 비류대로232번길 22, 지하1층 (옥련동)",37.41629661,126.6563207
블루밍,"인천광역시 연수구 청량로102번길 3 (옥련동, 지상2층)",37.41443499,126.6521188
수향,"인천광역시 연수구 대암로 37 (옥련동, 지상1층)",37.41776949,126.6509172
장수촌 누룽지백숙,"인천광역시 연수구 능허대로 246, 1층 일부, 2층 일부, 3층 일부호 (동춘동)",37.40072245,126.6674326
한양정,"인천광역시 연수구 청량로113번길 1 (옥련동, 지상1층)",37.41287598,126.6556907
명동삼계설렁탕식당,"인천광역시 연수구 능허대로 201 (옥련동,(지상1층))",37.40711303,126.6712771
내고향스넥,"인천광역시 연수구 원인재로 88 (동춘동,지하8호,13호,14호,15호(지하1층))",37.40710546,126.6708394
용추골미궁순대,"인천광역시 연수구 앵고개로254번길 19-6 (동춘동,103, 104호(번영3가10))",37.41745812,126.6560223
이차돌(인천동춘점),"인천광역시 연수구 앵고개로246번길 35, 대원빌딩 101호 (동춘동)",37.40699507,126.6800838
토크쇼,"인천광역시 연수구 원인재로 88 (동춘동,2동 삼환분산상가 106호(지상1층))",37.42392157,126.6964857
세븐나잇(연수1점),"인천광역시 연수구 먼우금로 19, 132호 (동춘동, 동남상가)",37.40699507,126.6800838
선학동 함흥냉면,"인천광역시 연수구 학나래로118번길 33 (선학동,(지상1층))",37.4260167,126.6973376
코리안숯불바베큐,"인천광역시 연수구 학나래로6번길 57 (선학동,,18(지상1층))",37.42748828,126.6975536
무쏘 선학점,"인천광역시 연수구 경원대로467번길 19 (선학동,(지상1층))",37.41839873,126.6535701
동강민물매운탕추어탕,"인천광역시 연수구 학나래로 11, 지상1층 (선학동)",37.41344062,126.6791683
다정다감,"인천광역시 연수구 학나래로 96, 지상1층 (선학동)",37.41233975,126.6783452
인천 참나무 장작구이,"인천광역시 연수구 벚꽃로158번길 39, 지상1층 (연수동)",37.41389724,126.680285
