상호명,도로명주소,전화번호,위도,경도,동구분
과자의숲,"인천광역시 연수구 송도과학로27번길 15, 104동 234호 (송도동, 송도아메리칸타운아이파크)",,37.38461103,126.6628864,송도동
바켄베이커리,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-109호)",,37.38803691,126.6642625,송도동
좋은아침 페스츄리(pastry),"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 지하1층 (송도동)",,37.38320628,126.6586339,송도동
미미米米,"인천광역시 연수구 신송로 168, 이든프라자 103호 (송도동)",,37.3986734,126.6486623,송도동
코코호도 동춘점,"인천광역시 연수구 앵고개로 260 (동춘동, 109호)",,37.40766546,126.6722913,동춘동
뚜레쥬르 송도글로벌파크점,"인천광역시 연수구 송도문화로28번길 27, 103호,104호, 203호일부호 (송도동, 송도글로벌파크베르디움)",,37.37499657,126.6558331,송도동
포무 베이커리(제빵소),"인천광역시 연수구 벚꽃로142번길 34, 1층 일부호 (연수동)",,37.41499047,126.679748,연수동
베이커리율교P3120,"인천광역시 연수구 컨벤시아대로42번길 20, 302동 지상1층 101,102호 (송도동, 송도 더 프라우 3단지)",,37.40002685,126.6502367,송도동
베이크 하우스 스몰(BAKE HOUSE SMOR),"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 301동 117호 (송도동)",,37.40073438,126.6388961,송도동
와플대학 인천동춘캠퍼스,"인천광역시 연수구 앵고개로 262, 동경프라자 1층 104호 (동춘동)",,37.40749426,126.6725576,동춘동
ANAS BAKERY(아나스 베이커리),"인천광역시 연수구 함박로8번길 59, 1층 일부호 (연수동)",,37.42506672,126.6822217,연수동
파리바게뜨 송도마스터뷰점,"인천광역시 연수구 컨벤시아대로274번길 35 (송도동, 송도더샵마스터뷰 상가동지상 1층 4호)",,37.38274107,126.6308273,송도동
파리바게뜨 송도캠퍼스타운점,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-115,116호)",,37.38803691,126.6642625,송도동
뚜레쥬르 연수우성2차점,"인천광역시 연수구 원인재로 180, 상가동 108호 (연수동, 연수우성2차아파트)",,37.41301342,126.6855598,연수동
빽다방 베이커리 인천동춘점,"인천광역시 연수구 앵고개로 256, 웅지프라자 107, 108호 (동춘동)",,37.40783029,126.6720178,동춘동
꽈페 송도국제도시(Quafe),"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 127호 (송도동)",,37.38246176,126.6606641,송도동
롤링핀,"인천광역시 연수구 송도국제대로 157, 오네스타 지상1층 A-101호, A-102호 (송도동)",,37.38094155,126.656664,송도동
쫄깃한과자점,"인천광역시 연수구 컨벤시아대로 70, 302동 114호 (송도동, 인천송도힐스테이트)",,37.39660246,126.6495914,송도동
건양다경 베이커리,"인천광역시 연수구 하모니로 158, 송도타임스페이스 지상1층 A-103호 (송도동)",,37.38419018,126.6421469,송도동
송도씨,"인천광역시 연수구 하모니로 158, 송도타임스페이스 지상1층 A-102호 (송도동)",,37.38419018,126.6421469,송도동
해피크림,"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 301동 124호 (송도동)",,37.40073438,126.6388961,송도동
뚜레쥬르 송도그린워크점,"인천광역시 연수구 아트센터대로97번길 30, 상가동 101,102호 (송도동, 더샵그린워크1차)",,37.39865638,126.6419436,송도동
베이커리 팩토리 송도점,"인천광역시 연수구 컨벤시아대로 177, 롯데마트 2층 (송도동)",,37.38831432,126.6433245,송도동
오뜨 파티세리(Haute patisserie),"인천광역시 연수구 컨벤시아대로 153, 쉐라톤인천호텔 지상1층 일부호 (송도동)",,37.39022599,126.6454272,송도동
뚜레쥬르 신연수점,"인천광역시 연수구 원인재로 286, 대림아파트 상가동 1층 103호 (연수동)",,37.4190454,126.6926717,연수동
샹끄발레르,"인천광역시 연수구 청량로86번길 9, 2층 일부 (동춘동)",,37.41620834,126.6574681,동춘동
Karon Cake(카롱케익),"인천광역시 연수구 새말로 20, 상가동 204-1호 (연수동, 성일아파트)",,37.42289959,126.6729825,연수동
와프리카노,"인천광역시 연수구 용담로 11, 상가동 110호 (청학동, 시대아파트)",,37.42147906,126.6691275,청학동
송도센트럴파크호텔(제과점),"인천광역시 연수구 테크노파크로 193, 송도센트럴파크호텔 10층 (송도동)",,37.39051474,126.6374026,송도동
코스트코 홀세일 베이커리,"인천광역시 연수구 컨벤시아대로230번길 60 (송도동, 지상1층 코스트코 )",,37.38965458,126.6332982,송도동
루트 베이커리,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 202동 146호 (송도동)",,37.39935875,126.6368956,송도동
엘빈플라워케이크,"인천광역시 연수구 청학로21번길 20, 1층 (청학동)",,37.42919484,126.6622602,청학동
동춘베이커리,"인천광역시 연수구 원인재로 56, 현대 종합상가 제1동 1층 101-3호 (동춘동, 현대아파트)",,37.40308336,126.6769963,동춘동
달콤한아름,"인천광역시 연수구 학나래로6번길 32, 1층 일부 (선학동)",,37.42439003,126.6979092,선학동
포무플랜트(pomuplant),"인천광역시 연수구 벚꽃로142번길 34, 1층 일부호 (연수동)",,37.41499047,126.679748,연수동
황제찹쌀꽈배기 송도점,"인천광역시 연수구 송도미래로 9, 비알씨(주) 연구소 3동 1층 115호 (송도동)",,37.37081435,126.6470528,송도동
파리바게트 송도마리나베이점,"인천광역시 연수구 랜드마크로 160, 더샵 송도 마리나베이 213동 102,201,202호 (송도동, 더샵 송도 마리나베이)",,37.41279383,126.6108012,송도동
파리바게뜨 송도퍼스트파크,"인천광역시 연수구 컨벤시아대로252번길 50, 1410동 105,106호 (송도동, 송도 더샵 퍼스트파크 F14BL)",,37.38800559,126.633734,송도동
도넛클랜,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 201동 112호 (송도동)",,37.39935875,126.6368956,송도동
캘리포니아 도넛 클럽 송도점,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 201동 140호 (송도동)",,37.39935875,126.6368956,송도동
79파운야드,"인천광역시 연수구 신송로 164, 104,105호 (송도동)",,37.39820953,126.6488325,송도동
파리바게뜨 송도엑스포,"인천광역시 연수구 컨벤시아대로42번길 95, 110,111호 (송도동, 더샵 엑스포)",,37.40204721,126.6430523,송도동
도너츠 팔레스(DONUTS PALACE),"인천광역시 연수구 인천타워대로 257, 아트포레 C동 143,144호 (송도동)",,37.39351506,126.6321878,송도동
Baru cake(바루케이크),"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 172 일부호 (송도동)",,37.40215703,126.6404248,송도동
디저트 큐,"인천광역시 연수구 하모니로 158, 송도타임스페이스 D-223호 (송도동)",,37.38419018,126.6421469,송도동
도너츠윤 송도점,"인천광역시 연수구 센트럴로 160, 판매시설동 109호 (송도동, 송도센트럴파크푸르지오)",,37.39200033,126.644994,송도동
샹끄발레르 카페,"인천광역시 연수구 청량로86번길 9, 1층 (동춘동)",,37.41620834,126.6574681,동춘동
파리바게뜨 송도SK점,"인천광역시 연수구 랜드마크로 19, 송도 SK VIEW 상가-2동 105,106호 (송도동, 송도 SK VIEW)",,37.4116642,126.6272196,송도동
우리빵,"인천광역시 연수구 새말로55번길 12, 1층 일부 (연수동)",,37.42093964,126.6770579,연수동
못난이 꽈배기,"인천광역시 연수구 컨벤시아대로 55, 118호 (송도동, 송도이안@)",,37.39661091,126.6518964,송도동
크로엔젤 송도점,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 1층 118호 (송도동)",,37.41050721,126.627633,송도동
하나노마카롱 송도랜드마크점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 301동 1층 26호 (송도동, 랜드마크시티센트럴더샵)",,37.41563898,126.6212329,송도동
뮤제 크로플,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 1층 (송도동)",,37.38320628,126.6586339,송도동
홈버거(HOMEBURGER),"인천광역시 연수구 함박로87번길 2, 1층 (연수동)",,37.42456281,126.6862631,연수동
트루아트,"인천광역시 연수구 선학로 90, 상가동 303호 (선학동, 아주아파트)",,37.42486652,126.7017219,선학동
리오베이커리,"인천광역시 연수구 봉재산로 20, 지2층 106호 (동춘동, 연수 서해그랑블 1단지)",,37.41041697,126.6634088,동춘동
메종드크루아상,"인천광역시 연수구 컨벤시아대로130번길 58, 상가A동 102호 (송도동, 송도자이하버뷰1단지아파트)",,37.39647854,126.6413003,송도동
파리바게뜨 송도이편한점,"인천광역시 연수구 랜드마크로 113, B동 107,108호 (송도동, e편한세상 송도)",,37.40923975,126.6176511,송도동
파리바게뜨 송도롯데몰점,"인천광역시 연수구 인천타워대로132번길 9, 롯데몰 송도 캐슬파크 141호 (송도동)",,37.38467593,126.6411413,송도동
하나스두 케이크 아뜰리에(Hanasdoux cake atelier),"인천광역시 연수구 하모니로 158, 송도타임스페이스 C-317호 (송도동)",,37.38419018,126.6421469,송도동
쌀이든빵,"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 지상1층 157호 (송도동)",,37.38246176,126.6606641,송도동
성수동 꿀꽈배기 연수역점,"인천광역시 연수구 벚꽃로 130-3, 1층 A-105호 (연수동, 연수푸르지오1단지)",,37.41620897,126.6801185,연수동
롯데쇼핑(주) 롯데슈퍼 연수점,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) 1층 (동춘동)",,37.40697151,126.6728198,동춘동
현대프리미엄아울렛송도점 몽슈슈,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 지하1층 일부호 (송도동)",,37.38320628,126.6586339,송도동
베지블&꼬마로롱,"인천광역시 연수구 신송로125번길 13, 아크리아1  108호 일부호 (송도동)",,37.39456511,126.6511829,송도동
뚜레쥬르 호반에듀시티점,"인천광역시 연수구 랜드마크로 110, 1동 116,117,118호 (송도동, 호반베르디움 EDU CITY)",,37.41510896,126.6171167,송도동
맘스케익 인천연수점,"인천광역시 연수구 비류대로347번길 5, 1층 (연수동)",,37.42531173,126.6731289,연수동
라나케이크(LANA CAKES),"인천광역시 연수구 새말로 79-1, 101호 (연수동)",,37.41931467,126.6787674,연수동
도너츠윤 송도현대아울렛,"인천광역시 연수구 송도국제대로 123, 현대프리미엄 아울렛 송도점 지하1층 일부호 (송도동)",,37.38320628,126.6586339,송도동
라플랜,"인천광역시 연수구 인천타워대로 251, 근린생활시설동 209호 (송도동)",,37.39313335,126.6328662,송도동
로로리 팩토리,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 305호 (송도동)",,37.40473194,126.6283248,송도동
경성찹쌀꽈배기,"인천광역시 연수구 독배로 52, 상가 가동 102-2호 (옥련동, 원흥아파트)",,37.4250187,126.6449888,옥련동
파리바게뜨 송도랜드마크시티점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 301동 1층 90,91호 (송도동, 랜드마크시티센트럴더샵)",,37.41563898,126.6212329,송도동
롤링핀 송도센트럴파크점,"인천광역시 연수구 센트럴로 232, E동 117,118,119,126호 일부,127호 (송도동, 더샵센트럴파크1)",,37.39636124,126.6375683,송도동
빚은 송도신도시점,"인천광역시 연수구 해돋이로 161, 세종프라자 111호 (송도동)",,37.39450703,126.6453716,송도동
커피화 로스터스 컴퍼니,"인천광역시 연수구 송도과학로27번길 70, 112동 지상1층 108호 (송도동, 롯데캐슬)",,37.38623512,126.6672047,송도동
청량산제빵소,"인천광역시 연수구 동곡재로 50, 2층 (동춘동)",,37.41452114,126.6716434,동춘동
뚜레쥬르 송도더테라스점,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 127,128호 (송도동)",,37.41050721,126.627633,송도동
79파운야드 송도트리플타워점,"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 128,129호 (송도동)",,37.38246176,126.6606641,송도동
뉴욕바나나,"인천광역시 연수구 아트센터대로 203, 송도 센트럴파크 푸르지오시티 154호 (송도동)",,37.39520389,126.6312871,송도동
크리스피크림 인천송도점,"인천광역시 연수구 랜드마크로 68, 랜드마크시티센트럴더샵 301동 1층 44호 (송도동, 랜드마크시티센트럴더샵)",,37.41563898,126.6212329,송도동
헤니케이크,"인천광역시 연수구 청능대로137번길 19, 지상1층 일부호 (연수동)",,37.41193027,126.6792153,연수동
라니와 디저트공장,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 2층 239호 (송도동)",,37.41050721,126.627633,송도동
달콤하늬,"인천광역시 연수구 컨벤시아대로 60, 112호 (송도동, 푸르지오월드마크)",,37.39758636,126.6506664,송도동
와플세상 옥련점,"인천광역시 연수구 한나루로 184, 지상2층 (옥련동)",,37.42558628,126.6564939,옥련동
와플대학 송도캠퍼스,"인천광역시 연수구 신송로 121, 송도센타프라자 1층 118호 (송도동)",,37.3953922,126.6518858,송도동
