상호명,도로명주소,위도,경도,동구분
원조즉석김밥,"인천광역시 연수구 원인재로 180 (연수동,우성상가 28호 2동(지하1층))",37.42672308,126.6674544,연수동
공개홀,"인천광역시 연수구 샘말로30번길 18 (연수동, 2동 지하1층)",37.41184687,126.6778496,연수동
강화밴뎅이,"인천광역시 연수구 청명로 9 (청학동,지상1층(청명길9))",37.41474537,126.6822307,청학동
에스비푸드,"인천광역시 연수구 용담로149번길 49 (연수동,지상1층)",37.41711306,126.6730066,연수동
팔도강산,"인천광역시 연수구 청능대로53번길 6 (청학동,(지상1층))",37.41654612,126.6762358,청학동
남가네 설악추어탕,"인천광역시 연수구 용담로99번길 13 (청학동,1층(소한담길17))",37.41797682,126.6865547,청학동
또와또와,"인천광역시 연수구 청학로6번길 76, 지상1층 (청학동)",37.41345921,126.6787296,청학동
서산아구랑꽃게,"인천광역시 연수구 비류대로256번길 8-14, 지상1층 (청학동)",37.41999656,126.690729,청학동
금산식당,"인천광역시 연수구 청능대로53번길 24-4 (청학동, 지상1층)",37.41939183,126.6807951,청학동
진미분식,"인천광역시 연수구 원인재로 237 (연수동,대우상가 102호 3동(지상1층))",37.41990564,126.6795001,연수동
멕시칸치킨,"인천광역시 연수구 함박뫼로 221 (연수동,사원 임대상가 105호(3동))",37.4265825,126.6571575,연수동
솔밭원조곱창구이,"인천광역시 연수구 먼우금로252번길 27-10 (연수동,1동(지상1층))",37.41337991,126.6788633,연수동
연수푸드,"인천광역시 연수구 먼우금로251번길 8-12, 102호 (연수동)",37.41461395,126.6531925,연수동
아리아리랑,"인천광역시 연수구 솔밭로 5 (동춘동,(지하1,지상1,2층))",37.41711002,126.6557444,동춘동
길모퉁이집,"인천광역시 연수구 청량로101번길 4 (옥련동,(지상1층))",37.42442552,126.6443535,옥련동
본죽 옥련점,"인천광역시 연수구 독배로 41 (옥련동,(지상1층))",37.41792974,126.6578207,옥련동
부부식당,"인천광역시 연수구 한나루로196번길 2 (옥련동,(지상1층))",37.42667233,126.6626939,옥련동
만리장성중화요리,"인천광역시 연수구 독배로40번길 29 (옥련동,대성상가 (지하1층))",37.42442552,126.6443535,옥련동
토크쇼,"인천광역시 연수구 능허대로79번길 30 (옥련동,럭키(아)종합상가114)",37.41852812,126.6551515,옥련동
예소담,"인천광역시 연수구 청량로102번길 40 (옥련동,(지상1층))",37.41771781,126.6736419,옥련동
원할머니보쌈 인천 옥련점,"인천광역시 연수구 독배로 41 (옥련동,지상2층)",37.4075498,126.6704508,옥련동
(주)신화푸드 긴자 송도유원지점,"인천광역시 연수구 청량로120번길 10 (옥련동,,574-2,3(지하1,2층,지상1,2층))",37.41713653,126.6528979,옥련동
송도갯벌,"인천광역시 연수구 대암로22번길 25, 1층 (옥련동)",37.42690618,126.6472419,옥련동
현대반점,"인천광역시 연수구 한진로 49 (옥련동,,2 현대A상가 지하1층)",37.40711303,126.6712771,옥련동
비비큐(B.B.Q)치킨(동춘점),"인천광역시 연수구 앵고개로254번길 19-6, 지상1층 (동춘동)",37.41914804,126.680083,동춘동
원래는 치킨집을 할려고 했었다 연수점,"인천광역시 연수구 새말로99번길 17 (연수동, 지상1층)",37.42450107,126.6465752,연수동
고기싸롱,"인천광역시 연수구 먼우금로 96 (동춘동, 지상1층)",37.42548956,126.6974923,동춘동
전주미담콩나물국밥,"인천광역시 연수구 앵고개로254번길 13 (동춘동, 2동 지상1층)",37.41310442,126.6777425,동춘동
참꽃삼겹살,"인천광역시 연수구 학나래로6번길 25, 지상1층 (선학동)",37.41368457,126.6802923,선학동
선학숯불갈비,"인천광역시 연수구 학나래로46번길 15, 1층 (선학동)",37.42469255,126.6433898,선학동
철부지와하니,인천광역시 연수구 샘말로21번길 18 (연수동),37.41358453,126.6804226,연수동
양군네 풍천장어,"인천광역시 연수구 샘말로62번길 9 (연수동,2동 지상1층(맛가람길8))",37.41381374,126.6789032,연수동
뮤즈,"인천광역시 연수구 용담로 132 (연수동,2동(지하1층))",37.41301342,126.6855598,연수동
