도로명주소,위도,경도,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,동구분
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202210,"21,000",0,33,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"31,500",0,29,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"31,500",0,29,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"22,500",0,28,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"32,000",0,9,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"29,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.3826,202211,"5,000",100,20,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"32,000",0,9,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"25,000",0,11,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"25,000",0,1,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"30,000",0,8,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"25,000",0,35,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"25,000",0,1,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"22,000",0,16,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"41,500",0,26,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"3,000",120,13,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"23,000",0,21,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,21,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"24,000",0,22,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"28,000",0,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"20,000",0,14,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"22,500",0,31,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"27,000",0,16,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.3826,202211,"3,000",100,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"25,000",0,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"26,000",0,10,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"26,000",0,33,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"26,000",0,33,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"22,000",0,32,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"26,000",0,2,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"25,000",0,37,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,500",0,36,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.3826,202211,"10,000",80,39,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"22,000",0,9,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,24,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,9,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,6,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"26,000",0,30,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"1,500",125,26,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"30,000",0,31,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.2538,202211,"26,000",0,11,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,18,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"29,000",0,18,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.2331,202211,"2,000",110,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"24,000",0,10,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,6,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"20,000",0,30,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,13,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"26,000",0,39,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"23,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"24,000",0,37,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,800",0,14,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"23,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202211,"20,000",0,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,13,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"23,000",0,8,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,13,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"22,500",0,39,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"20,500",0,13,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"24,000",0,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"30,000",0,37,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"20,000",0,11,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"20,000",0,11,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.2331,202211,"2,000",120,33,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"2,000",120,26,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"25,000",0,14,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"20,000",0,5,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"22,500",0,10,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,84.4163,202211,"3,000",150,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,84.4163,202211,"5,000",120,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"21,000",0,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"24,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"23,000",0,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"11,000",65,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"11,000",65,3,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202211,"2,000",110,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202211,"50,000",0,20,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"23,000",0,20,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202211,"20,000",0,4,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"22,000",0,24,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202211,"20,000",0,38,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,84.4163,202212,"2,000",160,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"20,000",0,37,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.2538,202212,"25,000",0,6,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"20,000",0,6,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"20,000",0,22,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"29,000",0,8,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"23,000",0,24,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"30,000",0,24,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"22,000",0,14,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202212,"22,000",0,35,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"26,000",0,27,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"19,000",0,28,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202212,"30,000",0,4,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"23,000",0,12,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,84.4163,202212,"3,000",140,33,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"20,000",0,16,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"27,000",0,16,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"20,000",0,28,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,월세,70.5618,202212,"2,000",115,15,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202212,"21,000",0,15,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"22,000",0,28,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"30,000",0,2,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"53,500",0,17,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"30,000",0,2,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"25,000",0,7,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"23,000",0,10,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"25,000",0,39,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"25,000",0,32,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"24,000",0,24,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"21,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.2331,202212,"17,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202212,"22,500",0,38,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202212,"26,000",0,30,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,84.4163,202212,"29,000",0,25,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202301,"30,000",0,18,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.5618,202301,"36,000",0,20,2018,송도동
인천광역시 연수구 송도동 랜드마크로 113,37.40923975,126.6176511,e편한세상 송도,전세,70.3826,202301,"25,000",0,38,2018,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,115.98,202209,"25,000",160,11,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202209,"48,000",0,25,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,94.98,202209,"43,000",0,5,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,94.98,202209,"43,000",0,5,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,134.96,202209,"50,100",37,34,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.25,202209,"40,500",0,8,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,134.96,202209,"10,000",250,41,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202209,"42,000",0,7,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,101.98,202209,"15,000",150,31,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,115.98,202209,"10,000",200,29,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,134.96,202209,"73,000",0,22,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202209,"37,500",0,35,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202209,"34,100",0,19,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202209,"42,000",0,8,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,115.93,202209,"1,000",124,5,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.25,202209,"48,000",0,19,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202210,"50,000",0,17,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"35,000",0,10,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202210,"60,000",0,17,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202210,"60,000",0,17,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202210,"55,000",0,32,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"16,000",0,31,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,134.96,202210,"52,500",0,33,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,84.98,202210,"34,150",0,27,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"40,000",0,8,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,84.98,202210,"5,250",180,23,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"47,250",0,29,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"47,250",0,21,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202210,"40,000",0,6,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202210,"47,250",0,21,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,115.98,202211,"10,000",190,2,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,월세,115.98,202211,"10,000",190,2,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202211,"43,000",0,19,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,84.98,202211,"34,000",0,24,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.98,202211,"51,400",0,3,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.99,202211,"43,000",0,9,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.93,202211,"45,000",0,34,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,115.93,202211,"45,000",0,34,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,134.96,202211,"45,000",0,27,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,글로벌캠퍼스푸르지오,전세,101.98,202211,"40,000",0,24,2013,송도동
