도로명주소,위도,경도,건물명,전용면적(㎡),대지권면적(㎡),계약년월,거래금액(만원),층,건축년도
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,55.92,32.98,202210,"        22,689",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,65.69,38.73,202210,"        25,853",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,49.15,28.97,202210,"        20,939",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,63.99,37.76,202210,"        25,184",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,55.92,32.98,202210,"        22,689",3,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,65.69,38.73,202210,"        25,853",3,2022
인천광역시 연수구 청학동 청학로16번길 30,37.42830241,126.6650487,세종파크맨션,91.55,49.82,202211,"        14,000",4,1997
인천광역시 연수구 청학동 계림로 15-5,37.4292866,126.6643997,세진빌라(530-15),37.35,29.5,202211,"         9,200",3,1997
인천광역시 연수구 청학동 비류대로278번길 8-15,37.4261792,126.6645924,신동아빌라,45.78,28.51,202209,"        12,000",4,1994
인천광역시 연수구 청학동 비류대로278번길 8-15,37.4261792,126.6645924,신동아빌라,45.78,28.51,202211,"         8,000",4,1994
인천광역시 연수구 청학동 계림로58번길 26,37.42744165,126.666076,연수그린빌리지(537-6),43.84,23.99,202209,"        11,500",4,1993
인천광역시 연수구 청학동 청학로27번길 35,37.42958762,126.6614668,우솔빌,56.56,36.08,202211,"        19,000",3,2016
인천광역시 연수구 청학동 비류대로256번길 13,37.42617935,126.6634663,전원미추홀타운(561-11),29.6,19.09,202209,"         8,300",4,1995
인천광역시 연수구 청학동 청학로27번길 7,37.42949368,126.6630926,전원빌리지(521-8),41.07,22.25,202209,"        11,700",2,1993
인천광역시 연수구 청학동 청학안로14번길 7,37.43061577,126.6625704,전원씨티빌리지2차(518-7),37.17,24.49,202209,"         9,500",3,1994
인천광역시 연수구 청학동 청학로16번길 61-11,37.42822733,126.6673119,진우맨션(540-4),59.86,33.9,202210,"         5,000",-1,1996
인천광역시 연수구 청학동 청학로5번길 2,37.42775125,126.6632036,청도빌라(525-10),49.29,26.25,202212,"        10,000",3,1994
인천광역시 연수구 청학동 비류대로278번길 18-24,37.42611995,126.6639884,청학파크맨션(563-12),77.66,44.44,202210,"        13,000",4,1995
인천광역시 연수구 청학동 비류대로278번길 18-24,37.42611995,126.6639884,청학파크맨션(563-12),77.66,44.44,202210,"        13,000",4,1995
인천광역시 연수구 청학동 청학로6번길 78,37.42664941,126.6676169,태항그린빌라,48.78,24.72,202211,"        13,000",4,1996
인천광역시 연수구 청학동 청학로27번길 16,37.42984035,126.6625338,태화빌라,50.04,54.09,202209,"        15,000",2,1983
