일련번호,상호명,도로명주소,전화번호,위도,경도,전용면적(㎡),계약년월,거래금액(만원),층,건축년도
39,,인천광역시 연수구 송도동 하모니로138번길 11,,37.3847404,126.642605,18.54,202209,"15,500",11,2019
40,,인천광역시 연수구 송도동 하모니로138번길 11,,37.3847404,126.642605,18.54,202210,"14,000",20,2019
41,,인천광역시 연수구 송도동 하모니로138번길 11,,37.3847404,126.642605,18.54,202212,"12,200",5,2019
42,,인천광역시 연수구 송도동 컨벤시아대로 50,,37.3980026,126.651396,49.6,202212,"20,400",4,2010
43,,인천광역시 연수구 송도동 송도과학로 70,,37.3804818,126.665173,46.89,202209,"30,000",22,2022
44,,인천광역시 연수구 송도동 송도과학로 70,,37.3804818,126.665173,22.31,202209,"17,779",16,2022
45,,인천광역시 연수구 송도동 아트센터대로 203,,37.3952202,126.631273,25.78,202209,"17,250",16,2015
46,,인천광역시 연수구 송도동 아트센터대로 203,,37.3952202,126.631273,26.09,202209,"15,500",24,2015
47,,인천광역시 연수구 송도동 아트센터대로 203,,37.3952202,126.631273,25.78,202210,"17,000",24,2015
48,,인천광역시 연수구 송도동 아트센터대로 203,,37.3952202,126.631273,25.78,202210,"16,750",27,2015
49,,인천광역시 연수구 송도동 아트센터대로 203,,37.3952202,126.631273,25.78,202211,"15,900",27,2015
50,,인천광역시 연수구 송도동 인천타워대로 323,,37.3994502,126.629739,90.16,202209,"38,670",3,2011
51,,인천광역시 연수구 송도동 인천타워대로 323,,37.3994502,126.629739,88.04,202210,"41,000",38,2011
52,,인천광역시 연수구 송도동 하모니로 144,,37.3842561,126.643353,25.77,202209,"20,000",14,2019
53,,인천광역시 연수구 송도동 하모니로 144,,37.3842561,126.643353,25.96,202209,"19,000",19,2019
54,,인천광역시 연수구 송도동 하모니로 144,,37.3842561,126.643353,25.77,202209,"18,250",36,2019
55,,인천광역시 연수구 송도동 하모니로 144,,37.3842561,126.643353,25.77,202210,"18,300",13,2019
56,,인천광역시 연수구 송도동 인천타워대로 251,,37.3926824,126.632234,31.06,202209,"16,000",7,2015
57,,인천광역시 연수구 송도동 신송로118번길 9,,37.3961507,126.652816,42.48,202212,"11,000",2,2006
58,,인천광역시 연수구 송도동 컨벤시아대로 80,,37.3957884,126.649125,49.16,202211,"27,000",6,2011
59,,인천광역시 연수구 송도동 센트럴로 415,,37.4104595,126.626567,84.19,202209,"49,000",44,2020
60,,인천광역시 연수구 송도동 센트럴로 415,,37.4104595,126.626567,84.97,202209,"40,000",40,2020
61,,인천광역시 연수구 송도동 센트럴로 415,,37.4104595,126.626567,84.28,202210,"40,000",32,2020
62,,인천광역시 연수구 송도동 센트럴로 415,,37.4104595,126.626567,84.09,202212,"44,000",41,2020
63,,인천광역시 연수구 송도동 센트럴로 415,,37.4104595,126.626567,84.82,202212,"40,000",3,2020
64,,인천광역시 연수구 연수동 용담로117번길 41,,37.4165507,126.67859,31.87,202211,"6,000",7,2003
65,,인천광역시 연수구 연수동 먼우금로 194,,37.4143298,126.676984,29.11,202209,"6,530",7,2003
66,,인천광역시 연수구 연수동 먼우금로 194,,37.4143298,126.676984,26.98,202210,"6,500",7,2003
67,,인천광역시 연수구 연수동 먼우금로 194,,37.4143298,126.676984,26.98,202212,"6,900",8,2003
68,,인천광역시 연수구 연수동 먼우금로 194,,37.4143298,126.676984,26.98,202212,"6,650",7,2003
69,,인천광역시 연수구 연수동 먼우금로222번길 37,,37.4159944,126.679451,70.32,202210,"24,000",9,
70,,인천광역시 연수구 연수동 먼우금로222번길 41,,37.4158777,126.679621,16.6,202209,"3,250",9,2002
71,,인천광역시 연수구 연수동 먼우금로222번길 41,,37.4158777,126.679621,10.66,202209,"2,450",10,2002
72,,인천광역시 연수구 연수동 먼우금로222번길 41,,37.4158777,126.679621,10.66,202210,"2,800",3,2002
73,,인천광역시 연수구 연수동 먼우금로222번길 41,,37.4158777,126.679621,10.66,202212,"2,580",9,2002
74,,인천광역시 연수구 연수동 먼우금로222번길 41,,37.4158777,126.679621,16.39,202212,"4,000",9,2002
