상호명,도로명주소,전화번호,위도,경도
세븐일레븐 인천송도본점,"인천광역시 연수구 대암로 19, 팔레스빌딩 1층 일부호 (옥련동)",,37.4180144,126.651518
GS25 송도이편한,"인천광역시 연수구 랜드마크로 113, e편한세상 송도 상가B-1동 109일부호 (송도동, e편한세상 송도)",,37.4114564,126.617142
GS25 연수동춘점,"인천광역시 연수구 앵고개로246번길 10, 대산프라자 112일부호 (동춘동)",,37.4084105,126.670617
CU 연수문남점,"인천광역시 연수구 새말로35번길 22, 1층 일부호 (연수동)",,37.4226441,126.676237
CU 연수장미점,"인천광역시 연수구 새말로69번길 20, 1층 일부호 (연수동)",,37.4205236,126.678392
씨유 연수시영승기점,"인천광역시 연수구 원인재로 212, 연수1차,승기마을,원인재마을 208동 101일부호 (연수동, 연수1차,승기마을,원인재마을)",,37.4148103,126.688098
씨유 송도유원지점,"인천광역시 연수구 능허대로 193, 101일부호 (옥련동)",,37.4184246,126.650081
GS25 연수유천점,"인천광역시 연수구 먼우금로 302, 연수유천아파트 상가동 101일부호 (연수동, 연수유천아파트)",,37.4228011,126.684314
이마트24 인천동춘서해점,"인천광역시 연수구 봉재산로36번안길 21, 101일부호 (동춘동)",,37.4083405,126.664958
GS25 청학현대점,"인천광역시 연수구 계림로35번길 58, 1층 일부호 (청학동)",,37.4283532,126.668597
씨유(CU) 동춘그랜드점,"인천광역시 연수구 앵고개로246번길 39-8, 백마빌딩 1층 (동춘동)",,37.4068084,126.671223
씨유 연수파크레인점,"인천광역시 연수구 능허대로 343, 송도 파크레인 동일하이빌 1021동 107일부호 (동춘동, 송도 파크레인 동일하이빌)",,37.4068611,126.664355
지에스25 송도SK뷰점,"인천광역시 연수구 랜드마크로 19, 상가-1동 105일부호 (송도동, 송도 SK VIEW)",,37.4131355,126.626543
세븐일레븐 연수희망점,"인천광역시 연수구 함박로67번길 4, 1층 일부호 (연수동)",,37.425587,126.684946
GS25 연수파크자이,"인천광역시 연수구 앵고개로104번길 22, 송도파크자이 110일부호 (동춘동, 송도파크자이)",,37.410689,126.657617
씨유 청학용담점,"인천광역시 연수구 함박뫼로 10, 이수빌딩 102일부호 (청학동)",,37.418351,126.671466
이마트24 송도센트로드점,"인천광역시 연수구 인천타워대로 323, 송도 센트로드 D동 101 일부호 (송도동)",,37.3994502,126.629739
씨유 송도BT센터,"인천광역시 연수구 송도과학로 56, 송도테크노파크 BT센터 111,112호 (송도동)",,37.3810554,126.664109
씨유 송도캐슬파크A동점,"인천광역시 연수구 인천타워대로132번길 9, 롯데몰 송도 캐슬파크 119,120호 (송도동)",,37.3851876,126.641542
씨유 송도캐슬파크B동점,"인천광역시 연수구 인천타워대로132번길 9, 롯데몰 송도 캐슬파크 138호 (송도동)",,37.385116,126.641951
세븐일레븐 인천선학웅비점,"인천광역시 연수구 넘말로47번길 11, 1층 일부호 (선학동)",,37.4294558,126.696567
세븐일레븐 송도캐슬해모로점,"인천광역시 연수구 송도과학로51번길 136, 220동 110호 (송도동, 송도 캐슬&해모로)",,37.383363,126.674642
GS25 송도해송점,"인천광역시 연수구 해송로30번길 19, 102호 (송도동, 웰카운티송도3단지)",,37.380719,126.645922
미니스톱 센트럴파크점,"인천광역시 연수구 컨벤시아대로 160, 보트하우스1 1층 (송도동)",,37.3924167,126.639565
이마트24 R연수행복점,"인천광역시 연수구 새말로 55, 1층 (연수동)",,37.4207352,126.676697
이마트24 송도스마트밸리점,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 F동 114호 (송도동)",,37.3666202,126.648358
GS25 송도현대점,"인천광역시 연수구 해돋이로6번길 7, 상가동 107호 (송도동, 아이파크송도)",,37.3876443,126.658694
씨유 송도아메리칸타운,"인천광역시 연수구 송도과학로27번길 15, 104동 1층 154호 (송도동, 송도아메리칸타운아이파크)",,37.38579,126.661909
CU청학센터점,"인천광역시 연수구 청학안로 26, 1층 (청학동)",,37.4302448,126.66207
씨유 연수함박점,"인천광역시 연수구 함박로88번길 3, 1층 (연수동)",,37.4245715,126.685933
이마트24 송도캐슬센트럴점,"인천광역시 연수구 하모니로138번길 11, 송도캐슬센트럴파크 101동 117호 (송도동)",,37.385155,126.642562
씨유 옥련1호점,"인천광역시 연수구 독배로 56, 시계탑빌딩 1층 (옥련동)",,37.4255991,126.644907
CU송도지식정보단지점,"인천광역시 연수구 인천타워대로54번길 13, 해승메디피아 1층 101호 (송도동)",,37.3792197,126.646425
세븐이레븐 송도더프라우점,"인천광역시 연수구 컨벤시아대로42번길 20, 302동 104호 (송도동, 송도 더 프라우 3단지)",,37.400066,126.651122
씨유 동춘대동점,"인천광역시 연수구 먼우금로 69, 상가동 109호 (동춘동, 대동아파트)",,37.4056486,126.66889
씨유 청학청량산점,"인천광역시 연수구 솔샘로92번길 3, 화광교회 1층 일부호 (청학동)",,37.425555,126.663639
씨유 연수메카점,"인천광역시 연수구 먼우금로 194, 메카오피스텔 1층 일부호 (연수동)",,37.4143298,126.676984
세븐일레븐 청학우리,"인천광역시 연수구 비류대로256번길 8-1, 1층 일부호 (청학동, 가인주택)",,37.4263826,126.663149
GS25 다원송도,"인천광역시 연수구 아카데미로312번길 177, A동 106호 일부호 (송도동, 힐스테이트 레이크 송도)",,37.40143,126.621334
지에스25 송도호반점,"인천광역시 연수구 송도문화로28번길 27, 2동 104호 일부호 (송도동, 송도글로벌파크베르디움)",,37.376472,126.655772
씨유(CU) 연수4단지점,"인천광역시 연수구 비류대로 429, 1층 (연수동)",,37.4244268,126.682398
씨유 송도희락점,"인천광역시 연수구 하모니로 144, A동 111호 (송도동, 송도 지웰 푸르지오시티)",,37.3842561,126.643353
GS25송도에듀시티점,"인천광역시 연수구 랜드마크로 110, 상가2동 110호 일부호 (송도동, 호반베르디움 EDU CITY)",,37.413971,126.617149
GS25송도캐슬파크점,"인천광역시 연수구 하모니로138번길 11, 송도캐슬센트럴파크 102동 158호 (송도동)",,37.384605,126.642353
세븐일레븐 송도힐스레이크 2차점,"인천광역시 연수구 아카데미로 446, 222동 103호 (송도동, 힐스테이트 레이크 송도 2차)",,37.398147,126.621034
